
 1  owl:Thing 
 1.2.5.32.1  SportsTeamMember  
 1.2.5.33  Orphan  
 1.2.5.34  Philosopher  
 1.2.5.35  PlayboyPlaymate  
 1.2.5.36  Politician  
 1.2.5.36.1  Chancellor  
 1.2.5.36.2  Congressman  
 1.2.5.36.3  Deputy  
 1.2.5.36.4  Governor  
 1.2.5.36.5  Lieutenant  
 1.2.5.36.6  Mayor  
 1.2.5.36.7  MemberOfParliament  
 1.2.5.36.8  President  
 1.2.5.36.9  PrimeMinister  
 1.2.5.36.10  Senator  
 1.2.5.36.11  VicePresident  
 1.2.5.36.12  VicePrimeMinister  
 1.2.5.37  PoliticianSpouse  
 1.2.5.38  Presenter  
 1.2.5.38.1  RadioHost  
 1.2.5.38.2  TelevisionHost  
 1.2.5.39  Producer  
 1.2.5.40  Psychologist  
 1.2.5.41  Referee  
 1.2.5.42  Religious  
 1.2.5.43  RomanEmperor  
 1.2.5.44  Royalty  
 1.2.5.44.1  BritishRoyalty  
 1.2.5.44.1.1  Baronet  
 1.2.5.45  Scientist  
 1.2.5.45.1  Biologist  
 1.2.5.45.2  Entomologist  
 1.2.5.45.3  Medician  
 1.2.5.45.4  Professor  
 1.2.5.46  SportsManager  
 1.2.5.46.1  SoccerManager  
 1.2.5.47  TelevisionDirector  
 1.2.5.48  TelevisionPersonality  
 1.2.5.48.1  Host  
 1.2.5.49  TheatreDirector  
 1.2.5.50  Writer  
 1.2.5.50.1  Historian  
 1.2.5.50.2  MusicComposer  
 1.2.5.50.3  PlayWright  
 1.2.5.50.4  Poet  
 1.2.5.50.5  ScreenWriter  
 1.2.5.50.6  SongWriter  
 1.3  Altitude  
 1.4  AnatomicalStructure  
 1.4.1  Artery  
 1.4.2  BloodVessel  
 1.4.3  Bone  
 1.4.4  Brain  
 1.4.5  Embryology  
 1.4.6  Ligament  
 1.4.7  Lymph  
 1.4.8  Muscle  
 1.4.9  Nerve  
 1.4.10  Vein  
 1.5  Area  
 1.6  Award  
 1.6.1  Decoration  
 1.6.2  NobelPrize  
 1.7  Biomolecule  
 1.7.1  Enzyme  
 1.7.2  Gene  
 1.7.2.1  HumanGene  
 1.7.2.2  MouseGene  
 1.7.3  Hormone  
 1.7.4  Lipid  
 1.7.5  Polysaccharide  
 1.7.6  Protein  
 1.8  Blazon  
 1.9  ChartsPlacements  
 1.10  ChemicalSubstance  
 1.10.1  ChemicalCompound  
 1.10.2  ChemicalElement  
 1.10.3  Drug  
 1.10.4  Mineral  
 1.11  Colour  
 1.12  Currency  
 1.13  Demographics  
 1.14  Depth  
 1.15  Device  
 1.15.1  Camera  
 1.15.1.1  DigitalCamera  
 1.15.2  Engine  
 1.15.2.1  AutomobileEngine  
 1.15.2.2  RocketEngine  
 1.15.3  InformationAppliance  
 1.15.4  Instrument  
 1.15.4.1  Guitar  
 1.15.4.2  Organ  
 1.15.5  MobilePhone  
 1.15.6  Weapon  
 1.16  Diploma  
 1.17  Disease  
 1.18  ElectionDiagram  
 1.19  EthnicGroup  
 1.20  Event  
 1.20.1  Competition  
 1.20.1.1  Contest  
 1.20.2  LifeCycleEvent  
 1.20.2.1  PersonalEvent  
 1.20.2.1.1  Birth  
 1.20.2.1.2  Death  
 1.20.2.1.3  Divorce  
 1.20.2.1.4  Marriage  
 1.20.3  SocietalEvent  
 1.20.3.1  AcademicConference  
 1.20.3.2  Attack  
 1.20.3.3  Convention  
 1.20.3.4  Election  
 1.20.3.5  FilmFestival  
 1.20.3.6  Meeting  
 1.20.3.7  MilitaryConflict  
 1.20.3.8  MusicFestival  
 1.20.3.9  Rebellion  
 1.20.3.10  SpaceMission  
 1.20.3.11  SportsEvent  
 1.20.3.11.1  CyclingCompetition  
 1.20.3.11.2  FootballMatch  
 1.20.3.11.3  GrandPrix  
 1.20.3.11.4  InternationalFootballLeagueEvent  
 1.20.3.11.5  MixedMartialArtsEvent  
 1.20.3.11.6  NationalFootballLeagueEvent  
 1.20.3.11.7  Olympics  
 1.20.3.11.7.1  OlympicEvent  
 1.20.3.11.8  Race  
 1.20.3.11.8.1  CyclingRace  
 1.20.3.11.8.2  HorseRace  
 1.20.3.11.8.3  MotorRace  
 1.20.3.11.9  Tournament  
 1.20.3.11.9.1  GolfTournament  
 1.20.3.11.9.2  SoccerTournament  
 1.20.3.11.9.3  TennisTournament  
 1.20.3.11.9.4  WomensTennisAssociationTournament  
 1.20.3.11.10  WrestlingEvent  
 1.21  Flag  
 1.22  Food  
 1.22.1  Beverage  
 1.22.1.1  Beer  
 1.22.1.2  Vodka  
 1.22.1.3  Wine  
 1.22.1.3.1  ControlledDesignationOfOriginWine  
 1.22.2  Cheese  
 1.23  GeneLocation  
 1.23.1  HumanGeneLocation  
 1.23.2  MouseGeneLocation  
 1.24  GrossDomesticProduct  
 1.25  GrossDomesticProductPerCapita  
 1.26  Holiday  
 1.27  HumanDevelopmentIndex  
 1.28  Language  
 1.28.1  ProgrammingLanguage  
 1.29  List  
 1.29.1  TrackList  
 1.30  MeanOfTransportation  
 1.30.1  Aircraft  
 1.30.1.1  MilitaryAircraft  
 1.30.2  Automobile  
 1.30.3  Locomotive  
 1.30.4  MilitaryVehicle  
 1.30.5  Motorcycle  
 1.30.6  On-SiteTransportation  
 1.30.6.1  ConveyorSystem  
 1.30.6.2  Escalator  
 1.30.6.3  MovingWalkway  
 1.30.7  Rocket  
 1.30.8  Ship  
 1.30.9  SpaceShuttle  
 1.30.10  SpaceStation  
 1.30.11  Spacecraft  
 1.30.12  Train  
 1.30.13  TrainCarriage  
 1.30.14  Tram  
 1.31  Media  
 1.32  Medicine  
 1.33  Name  
 1.33.1  GivenName  
 1.33.2  Surname  
 1.34  NaturalEvent  
 1.34.1  Earthquake  
 1.34.2  SolarEclipse  
 1.34.3  StormSurge  
 1.35  PenaltyShootOut  
 1.36  PersonFunction  
 1.36.1  PoliticalFunction  
 1.36.2  Profession  
 1.37  Place  
 1.37.1  ArchitecturalStructure  
 1.37.1.1  AmusementParkAttraction  
 1.37.1.1.1  RollerCoaster  
 1.37.1.1.2  WaterRide  
 1.37.1.2  Arena  
 1.37.1.3  Building  
 1.37.1.3.1  Casino  
 1.37.1.3.2  Castle  
 1.37.1.3.3  Factory  
 1.37.1.3.4  HistoricBuilding  
 1.37.1.3.5  Hospital  
 1.37.1.3.6  Hotel  
 1.37.1.3.7  Museum  
 1.37.1.3.8  Prison  
 1.37.1.3.9  ReligiousBuilding  
 1.37.1.3.9.1  Abbey  
 1.37.1.3.9.2  Church  
 1.37.1.3.9.3  Monastery  
 1.37.1.3.9.4  Mosque  
 1.37.1.3.9.5  Shrine  
 1.37.1.3.9.6  Synagogue  
 1.37.1.3.9.7  Temple  
 1.37.1.3.10  Restaurant  
 1.37.1.3.11  ShoppingMall  
 1.37.1.3.12  Skyscraper  
 1.37.1.4  Gate  
 1.37.1.5  Infrastructure  
 1.37.1.5.1  Airport  
 1.37.1.5.2  Dam  
 1.37.1.5.3  Dike  
 1.37.1.5.4  LaunchPad  
 1.37.1.5.5  Lock  
 1.37.1.5.6  Port  
 1.37.1.5.7  PowerStation  
 1.37.1.5.7.1  NuclearPowerStation  
 1.37.1.5.8  RestArea  
 1.37.1.5.9  RouteOfTransportation  
 1.37.1.5.9.1  Bridge  
 1.37.1.5.9.2  RailwayLine  
 1.37.1.5.9.3  RailwayTunnel  
 1.37.1.5.9.4  Road  
 1.37.1.5.9.5  RoadJunction  
 1.37.1.5.9.6  RoadTunnel  
 1.37.1.5.9.7  WaterwayTunnel  
 1.37.1.5.10  Station  
 1.37.1.5.10.1  ElectricalSubstation  
 1.37.1.5.10.2  FillingStation  
 1.37.1.5.10.3  MetroStation  
 1.37.1.5.10.4  RailwayStation  
 1.37.1.5.10.5  TramStation  
 1.37.1.6  MilitaryStructure  
 1.37.1.6.1  Fort  
 1.37.1.7  Mill  
 1.37.1.7.1  Treadmill  
 1.37.1.7.2  Watermill  
 1.37.1.7.3  WindMotor  
 1.37.1.7.4  Windmill  
 1.37.1.8  Pyramid  
 1.37.1.9  SportFacility  
 1.37.1.9.1  CricketGround  
 1.37.1.9.2  GolfCourse  
 1.37.1.9.3  RaceTrack  
 1.37.1.9.3.1  Racecourse  
 1.37.1.9.4  SkiArea  
 1.37.1.9.4.1  SkiResort  
 1.37.1.9.5  Stadium  
 1.37.1.10  Square  
 1.37.1.11  Tower  
 1.37.1.11.1  Lighthouse  
 1.37.1.11.2  WaterTower  
 1.37.1.12  Tunnel  
 1.37.1.13  Venue  
 1.37.1.13.1  Theatre  
 1.37.1.14  Zoo  
 1.37.2  CelestialBody  
 1.37.2.1  Asteroid  
 1.37.2.2  Constellation  
 1.37.2.3  Galaxy  
 1.37.2.4  Planet  
 1.37.2.5  Satellite  
 1.37.2.5.1  ArtificialSatellite  
 1.37.2.6  Star  
 1.37.2.6.1  BrownDwarf  
 1.37.2.7  Swarm  
 1.37.2.7.1  Globularswarm  
 1.37.2.7.2  Openswarm  
 1.37.3  Cemetery  
 1.37.4  ConcentrationCamp  
 1.37.5  CountrySeat  
 1.37.6  Garden  
 1.37.7  HistoricPlace  
 1.37.8  Mine  
 1.37.8.1  CoalPit  
 1.37.9  Monument  
 1.37.9.1  GraveMonument  
 1.37.9.2  Memorial  
 1.37.10  NaturalPlace  
 1.37.10.1  Archipelago  
 1.37.10.2  Beach  
 1.37.10.3  BodyOfWater  
 1.37.10.3.1  Bay  
 1.37.10.3.2  Lake  
 1.37.10.3.3  Ocean  
 1.37.10.3.4  Sea  
 1.37.10.3.5  Stream  
 1.37.10.3.5.1  Canal  
 1.37.10.3.5.2  Creek  
 1.37.10.3.5.3  River  
 1.37.10.4  Cape  
 1.37.10.5  Cave  
 1.37.10.6  Crater  
 1.37.10.6.1  LunarCrater  
 1.37.10.7  Desert  
 1.37.10.8  Forest  
 1.37.10.9  Glacier  
 1.37.10.10  HotSpring  
 1.37.10.11  Mountain  
 1.37.10.12  MountainPass  
 1.37.10.13  MountainRange  
 1.37.10.14  Valley  
 1.37.10.15  Volcano  
 1.37.11  Park  
 1.37.12  PopulatedPlace  
 1.37.12.1  Agglomeration  
 1.37.12.2  Community  
 1.37.12.3  Continent  
 1.37.12.4  Country  
 1.37.12.4.1  HistoricalCountry  
 1.37.12.5  GatedCommunity  
 1.37.12.6  Intercommunality  
 1.37.12.7  Island  
 1.37.12.7.1  Atoll  
 1.37.12.8  Locality  
 1.37.12.9  Region  
 1.37.12.9.1  AdministrativeRegion  
 1.37.12.9.1.1  ClericalAdministrativeRegion  
 1.37.12.9.1.1.1  Deanery  
 1.37.12.9.1.1.2  Diocese  
 1.37.12.9.1.1.3  Parish  
 1.37.12.9.1.2  GovernmentalAdministrativeRegion  
 1.37.12.9.1.2.1  Arrondissement  
 1.37.12.9.1.2.2  Canton  
 1.37.12.9.1.2.3  Department  
 1.37.12.9.1.2.3.1  OverseasDepartment  
 1.37.12.9.1.2.4  District  
 1.37.12.9.1.2.4.1  HistoricalDistrict  
 1.37.12.9.1.2.5  DistrictWaterBoard  
 1.37.12.9.1.2.6  MicroRegion  
 1.37.12.9.1.2.7  Municipality  
 1.37.12.9.1.2.7.1  FormerMunicipality  
 1.37.12.9.1.2.8  Prefecture  
 1.37.12.9.1.2.9  Province  
 1.37.12.9.1.2.9.1  HistoricalProvince  
 1.37.12.9.1.2.10  Regency  
 1.37.12.9.1.2.11  SubMunicipality  
 1.37.12.9.1.3  HistoricalAreaOfAuthority  
 1.37.12.9.1.3.1  Fiefdom  
 1.37.12.9.2  HistoricalRegion  
 1.37.12.9.3  NaturalRegion  
 1.37.12.10  Settlement  
 1.37.12.10.1  City  
 1.37.12.10.1.1  Capital  
 1.37.12.10.1.2  CapitalOfRegion  
 1.37.12.10.2  CityDistrict  
 1.37.12.10.3  HistoricalSettlement  
 1.37.12.10.4  Town  
 1.37.12.10.5  Village  
 1.37.12.11  State  
 1.37.12.12  Street  
 1.37.12.13  Territory  
 1.37.12.13.1  OldTerritory  
 1.37.13  ProtectedArea  
 1.37.14  SiteOfSpecialScientificInterest  
 1.37.15  WineRegion  
 1.37.16  WorldHeritageSite  
 1.38  Polyhedron  
 1.39  Population  
 1.40  PublicService  
 1.41  Relationship  
 1.41.1  Ratio  
 1.42  RouteStop  
 1.43  Species  
 1.43.1  Archaea  
 1.43.2  Bacteria  
 1.43.3  Eukaryote  
 1.43.3.1  Animal  
 1.43.3.1.1  Amphibian  
 1.43.3.1.2  Arachnid  
 1.43.3.1.3  Bird  
 1.43.3.1.4  Crustacean  
 1.43.3.1.5  Fish  
 1.43.3.1.6  Insect  
 1.43.3.1.7  Mammal  
